,RMSE,MAE,R²,MAPE,Directional_Accuracy
linear_regression,3.5040388687308917,2.786987624937419,0.7511553349985675,1.0971998909355931,63.26530612244898
lstm,4.261738511696144,3.2319024403889975,0.6141345064761323,1.2746040360494764,48.93617021276596
prophet,33.38579253789316,31.713102331259005,-21.17471783417624,12.393669276252638,48.97959183673469
