,RMSE,MAE,R²,MAPE,Directional_Accuracy
linear_regression,20.5569716040682,15.120812142319245,0.7890607316139642,1.04062934550416,38.775510204081634
lstm,24.968356528398104,20.20893420982361,0.6857674124056053,1.3843141780456911,48.93617021276596
prophet,100.36124067189607,75.7991724793133,-4.130205715489264,5.3158341456723175,48.97959183673469
